"Well","Cycle","Time","Object Index","Area [um^2]","Area [%]","Perimeter [um]","Form factor","Extent","Compactness","Eccentricity","Characteristic RI","Characteristic dry mass density [pg / um^3]","Dry mass [pg]","Granularity"
"A1",8,"00:24:55",9,339.32,0.558892,140.775,0.215164,0.559934,4.64761,0.746838,1.35236,0.111781,121.375,9.71755
"A1",9,"00:27:56",1,592.08,0.975212,182.673,0.222968,0.437063,4.48495,0.831281,1.34337,0.0668433,126.645,14.0109
"A1",9,"00:27:56",2,968.04,1.59445,252.583,0.190675,0.582119,5.24453,0.86016,1.34213,0.0606692,187.937,13.5648
"A1",9,"00:27:56",3,689.68,1.13597,175.834,0.280319,0.645405,3.56737,0.697562,1.34306,0.0652985,144.112,15.7223
"A1",9,"00:27:56",4,934.2,1.53872,213.594,0.257319,0.384166,3.88623,0.936807,1.34319,0.0659533,197.163,13.2237
"A1",9,"00:27:56",5,1031.8,1.69947,250.445,0.206719,0.575781,4.83748,0.945251,1.34394,0.0696907,230.102,12.6285
"A1",9,"00:27:56",6,400.64,0.659892,154.679,0.210428,0.554044,4.75223,0.236836,1.34786,0.0892967,114.483,9.08505
"A1",9,"00:27:56",7,457.64,0.753776,145.23,0.272659,0.441243,3.66759,0.918399,1.3492,0.0960186,140.614,8.14744
"A1",9,"00:27:56",8,563.72,0.9285,203.733,0.170667,0.383473,5.85937,0.808382,1.3447,0.0734982,132.584,14.0216
"A1",9,"00:27:56",9,410.28,0.67577,131.565,0.297858,0.528031,3.35731,0.808406,1.35043,0.102174,134.144,8.27938
"A1",10,"00:30:56",1,634.4,1.04492,202.881,0.193682,0.42145,5.1631,0.859208,1.3428,0.0640134,129.952,13.8991
"A1",10,"00:30:56",2,924.84,1.5233,207.141,0.270861,0.658043,3.69193,0.876023,1.34234,0.0616971,182.592,12.6622
"A1",10,"00:30:56",3,672.92,1.10836,168.068,0.299366,0.636247,3.3404,0.708286,1.34312,0.0655819,141.22,15.2512
"A1",10,"00:30:56",4,976.68,1.60868,238.073,0.216541,0.358694,4.61806,0.925064,1.34284,0.0641814,200.591,12.3163
"A1",10,"00:30:56",5,1043.72,1.71911,244.057,0.220198,0.589273,4.54138,0.941508,1.34386,0.0693087,231.484,12.8208
"A1",10,"00:30:56",6,454.88,0.74923,166.764,0.205543,0.351639,4.86517,0.918438,1.34913,0.0956585,139.242,6.25697
"A1",10,"00:30:56",7,397.44,0.654621,173.256,0.166381,0.5023,6.01032,0.476525,1.34788,0.0894167,113.721,6.50588
"A1",10,"00:30:56",8,551.12,0.907747,169.578,0.240833,0.41465,4.15226,0.788793,1.34471,0.0735586,129.727,10.5332
"A1",10,"00:30:56",9,364.44,0.600267,119.873,0.31871,0.577743,3.13765,0.823647,1.35186,0.109311,127.479,7.43363
"A1",11,"00:34:01",1,624.52,1.02864,183.603,0.232807,0.461214,4.2954,0.864768,1.34322,0.0661109,132.12,12.8762
"A1",11,"00:34:01",2,964.4,1.58846,223.081,0.243523,0.637983,4.10639,0.861109,1.34207,0.0603669,186.297,12.9278
"A1",11,"00:34:01",3,649.8,1.07028,167.018,0.292725,0.608017,3.41617,0.687598,1.34347,0.0673589,140.063,16.3463
"A1",11,"00:34:01",4,1036.04,1.70646,276.798,0.169926,0.32062,5.8849,0.920957,1.34282,0.0641216,212.584,14.5512
"A1",11,"00:34:01",5,1039.44,1.71206,237.714,0.231154,0.593044,4.32612,0.939367,1.34401,0.0700569,233.024,12.0739
"A1",11,"00:34:01",6,433.48,0.713983,180.078,0.16798,0.457489,5.95308,0.618647,1.34748,0.0874138,121.255,10.6716
"A1",11,"00:34:01",7,465.72,0.767085,177.152,0.186484,0.416729,5.3624,0.915707,1.34927,0.096338,143.573,8.64263
